do you have any preference in terms of roast level,are you lactose intolerant,do you prefer sugar or stevia in your coffee,how many percentages of milk do you like in your coffee,which one do you prefer more,what do you prefer most in your coffee,do you like your coffee to be made by stepping coffee grounds in water over a certain period of time,which of the following coffee do you like most
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,stevia,below 30%,long and mild,none of the above,no,cappuccino
light,no,stevia,20%,short and strong,none of the above,no,flat white
dark,no,sugar,below 30%,short and strong,none of the above,no,flat white
medium,no,stevia,20%,short and strong,none of the above,no,cortado
light,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,yes,stevia,0%,short and strong,sambuka,no,coretto
light,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,yes,sugar,0%,short and strong,none of the above,no,cold espresso
light,no,stevia,0%,long and mild,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,no,stevia,70% or above,short and strong,none of the above,no,mocha
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
dark,yes,stevia,0%,short and strong,none of the above,no,cortado
dark,no,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,yes,stevia,0%,short and strong,none of the above,no,coretto
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
dark,yes,stevia,0%,short and strong,whiskey,no,irish coffee
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,50%,short and strong,none of the above,no,latte macchiato
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
light,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
dark,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,yes,stevia,0%,long and mild,none of the above,no,americano
light,no,stevia,20%,short and strong,none of the above,no,flat white
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,20%,short and strong,none of the above,no,flat white
medium,no,stevia,20%,short and strong,none of the above,no,cortado
light,no,sugar,below 20%,long and mild,none of the above,no,cortado
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
light,no,stevia,50%,short and strong,none of the above,no,mocha
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,coretto
dark,no,stevia,20%,short and strong,none of the above,yes,cold brew
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,no,sugar,below 20%,short and strong,none of the above,no,cortado
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,no,i do not use sugar in my coffee,below 30%,long and mild,none of the above,no,flat white
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
light,yes,sugar,0%,long and mild coffee,none of the above,no,americano
light,no,sugar,below 20%,long and mild,none of the above,no,cortado
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,stevia,70% or above,long and mild,none of the above,no,latte macchiato
medium,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,yes,sugar,below 20%,short and strong,none of the above,no,cold espresso
dark,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,yes,sugar,0%,short and strong,none of the above,no,cold espresso
medium,yes,sugar,0%,short and strong,none of the above,yes,cold espresso
medium,no,stevia,20%,short and strong,none of the above,no,cortado
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte macchiato
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
dark,no,sugar,50%,long and mild coffee,none of the above,no,cappuccino
medium,no,sugar,70% or above,long and mild coffee,none of the above,yes,latte machiatto
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,70% or above,long and mild,whiskey,no,irish coffee
dark,no,sugar,70% or above,short and strong,none of the above,no,mocha
dark,no,sugar,50%,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,below 30%,long and mild,none of the above,no,flat white
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,no,sugar,50%,short and strong,none of the above,no,latte macchiato
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
light,no,i do not use sugar in my coffee,0%,long and mild coffee,none of the above,no,americano
medium,no,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cappuccino
medium,no,sugar,70% or above,long and mild,none of the above,no,latte macchiato
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
light,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
light,no,stevia,50%,short and strong,none of the above,no,mocha
medium,yes,sugar,0%,short and strong,none of the above,yes,cold brew
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,sugar,below 20%,short and strong,none of the above,no,cortado
medium,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,sugar,below 30%,long and mild coffee,none of the above,no,flat white
medium,no,sugar,50%,short and strong,none of the above,no,mocha
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
dark,no,sugar,20%,short and strong,none of the above,no,americano
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
light,no,sugar,70% or above,long and mild coffee,none of the above,no,latte machiatto
light,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
dark,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
dark,no,sugar,50%,short and strong,whiskey,no,irish coffee
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,yes,flat white
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
light,yes,sugar,0%,long and mild,none of the above,no,americano
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,yes,stevia,0%,long and mild,none of the above,no,americano
medium,yes,sugar,0%,short and strong,sambuka,no,coretto
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
light,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
light,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,americano
dark,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,latte machiatto
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
light,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte macchiato
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
medium,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,stevia,20%,short and strong,none of the above,yes,cold brew
medium,no,sugar,50%,long and mild coffee,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,below 20%,short and strong,none of the above,no,cortado
dark,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
light,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,yes,sugar,0%,short and strong,sambuka,no,coretto
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
dark,no,stevia,50%,short and strong,none of the above,no,cortado
medium,no,stevia,below 50%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,americano
light,yes,stevia,0%,long and mild coffee,none of the above,no,americano
medium,no,sugar,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,stevia,50%,short and strong,none of the above,no,mocha
medium,no,stevia,below 50%,long and mild coffee,none of the above,no,latte machiatto
medium,no,sugar,below 20%,short and strong,none of the above,no,cortado
light,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,no,sugar,50%,long and mild,none of the above,no,americano
light,yes,stevia,0%,short and strong,none of the above,no,americano
light,no,stevia,below 30%,long and mild,none of the above,no,flat white
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,yes,cold espresso
dark,no,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,sugar,50%,short and strong,none of the above,no,cortado
medium,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,sugar,20%,short and strong,none of the above,no,cortado
light,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,yes,cold espresso
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,no,sugar,20%,short and strong,none of the above,no,cappuccino
light,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,flat white
medium,no,stevia,70% or above,short and strong,none of the above,no,mocha
light,yes,i do not use sugar in my coffee,0%,long and mild coffee,none of the above,no,americano
light,no,sugar,50%,long and mild,none of the above,no,latte macchiato
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,yes,stevia,0%,short and strong,none of the above,no,coretto
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
light,no,stevia,0%,long and mild,none of the above,no,americano
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,yes,stevia,0%,short and strong,sambuka,no,coretto
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
dark,no,i do not use sugar in my coffee,0%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,yes,sugar,0%,short and strong,none of the above,no,irish coffee
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,sugar,70% or above,long and mild,none of the above,no,latte macchiato
light,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,sugar,20%,short and strong,none of the above,no,americano
dark,yes,stevia,0%,short and strong,none of the above,yes,cold brew
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cortado
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
light,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold brew
medium,no,stevia,20%,long and mild,none of the above,no,cappuccino
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,no,stevia,50%,long and mild,none of the above,yes,cold brew
dark,no,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,yes,sugar,0%,short and strong,sambuka,no,coretto
dark,no,sugar,below 30%,short and strong,none of the above,no,flat white
medium,yes,sugar,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
light,no,i do not use sugar in my coffee,below 20%,short and strong,none of the above,no,flat white
medium,no,sugar,below 30%,short and strong,none of the above,no,flat white
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,coretto
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,no,sugar,below 30%,short and strong,none of the above,no,flat white
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,americano
medium,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,sugar,70% or above,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
dark,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,no,stevia,50%,long and mild coffee,none of the above,no,cappuccino
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
medium,yes,sugar,70% or above,short and strong,none of the above,no,latte machiatto
dark,no,sugar,20%,short and strong,none of the above,no,cortado
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
dark,no,sugar,below 30%,long and mild coffee,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,cappuccino
medium,yes,stevia,0%,short and strong,sambuka,no,coretto
light,no,sugar,50%,long and mild,none of the above,no,latte machiatto
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,yes,stevia,0%,short and strong,sambuka,no,coretto
medium,no,sugar,70% or above,short and strong,none of the above,no,mocha
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
light,yes,i do not use sugar in my coffee,0%,long and mild coffee,none of the above,yes,americano
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,yes,sugar,50%,short and strong,none of the above,no,cappuccino
dark,no,sugar,50%,short and strong,none of the above,no,cortado
light,no,sugar,70% or above,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
medium,no,sugar,below 30%,short and strong,none of the above,no,flat white
medium,no,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
light,no,stevia,20%,short and strong,none of the above,no,cortado
medium,yes,sugar,70% or above,short and strong,none of the above,yes,cold brew
medium,no,sugar,50%,short and strong,whiskey,no,mocha
light,yes,sugar,0%,long and mild,none of the above,no,americano
medium,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,latte machiatto
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
medium,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,sugar,below 30%,long and mild coffee,none of the above,no,cappuccino
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,50%,long and mild coffee,none of the above,no,cappuccino
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
light,no,stevia,20%,short and strong,none of the above,no,cortado
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
medium,yes,stevia,0%,short and strong,sambuka,no,coretto
medium,no,sugar,50%,long and mild coffee,none of the above,yes,latte machiatto
medium,no,sugar,50%,long and mild coffee,none of the above,no,latte machiatto
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,yes,stevia,0%,short and strong,none of the above,no,cortado
light,no,sugar,50%,short and strong,none of the above,no,mocha
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,no,stevia,20%,short and strong,none of the above,no,cortado
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,no,sugar,50%,long and mild coffee,none of the above,no,latte machiatto
light,yes,sugar,0%,long and mild coffee,none of the above,no,americano
light,yes,stevia,0%,long and mild coffee,none of the above,no,americano
medium,no,stevia,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,below 30%,short and strong,none of the above,no,flat white
medium,yes,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
medium,no,sugar,70% or above,short and strong,none of the above,no,mocha
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,mocha
light,no,sugar,50%,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,cappuccino
light,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte macchiato
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
dark,no,sugar,50%,short and strong,none of the above,no,cappuccino
medium,yes,sugar,50%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
medium,yes,sugar,0%,short and strong,none of the above,yes,cold brew
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,latte machiatto
medium,yes,stevia,0%,long and mild,none of the above,no,cappuccino
light,no,sugar,below 50%,long and mild coffee,whiskey,no,cappuccino
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,yes,sugar,50%,short and strong,none of the above,no,mocha
dark,yes,stevia,0%,short and strong,none of the above,yes,cold brew
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,no,stevia,50%,short and strong,none of the above,no,cortado
dark,yes,sugar,0%,short and strong,none of the above,no,cold espresso
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
medium,no,sugar,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,stevia,50%,short and strong,none of the above,yes,cold brew
medium,yes,stevia,50%,long and mild coffee,none of the above,no,cappuccino
medium,no,stevia,50%,long and mild,none of the above,no,latte machiatto
medium,yes,sugar,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
dark,no,sugar,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,70% or above,long and mild,none of the above,no,cappuccino
light,no,sugar,70% or above,short and strong,none of the above,no,mocha
light,no,stevia,below 30%,short and strong,none of the above,no,flat white
dark,no,sugar,below 30%,long and mild coffee,none of the above,no,flat white
dark,yes,sugar,0%,short and strong,none of the above,no,cold brew
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,yes,stevia,0%,long and mild,none of the above,no,americano
medium,yes,sugar,50%,long and mild,none of the above,no,latte machiatto
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
dark,yes,stevia,0%,short and strong,whiskey,no,irish coffee
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
light,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
dark,no,sugar,50%,short and strong,whiskey,no,irish coffee
medium,yes,sugar,50%,long and mild,none of the above,no,cappuccino
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,stevia,20%,short and strong,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
light,no,sugar,70% or above,long and mild,none of the above,no,flat white
light,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,no,stevia,below 20%,short and strong,none of the above,no,cortado
dark,no,i do not use sugar in my coffee,below 20%,short and strong,none of the above,no,cortado
light,no,stevia,70% or above,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,sugar,below 20%,short and strong,none of the above,no,cortado
medium,no,sugar,50%,long and mild,none of the above,no,latte machiatto
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
dark,no,sugar,50%,short and strong,none of the above,no,cortado
dark,yes,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
light,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
dark,no,stevia,20%,short and strong,none of the above,yes,cold brew
medium,yes,sugar,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,no,stevia,70% or above,short and strong,none of the above,no,flat white
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,stevia,50%,short and strong,none of the above,no,cortado
light,yes,stevia,0%,long and mild,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,yes,i do not use sugar in my coffee,0%,long and mild coffee,none of the above,no,americano
dark,no,stevia,below 20%,short and strong,none of the above,no,cortado
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,no,stevia,50%,short and strong,none of the above,no,mocha
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
light,yes,stevia,0%,long and mild coffee,none of the above,no,americano
medium,no,sugar,below 30%,long and mild,none of the above,no,cappuccino
medium,no,sugar,below 20%,short and strong,none of the above,no,cortado
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,no,sugar,50%,long and mild,none of the above,no,latte machiatto
dark,no,stevia,70% or above,short and strong,none of the above,no,latte machiatto
light,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
light,yes,stevia,0%,long and mild,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,americano
medium,no,stevia,below 50%,long and mild,none of the above,no,cappuccino
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,latte machiatto
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
dark,no,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
dark,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,americano
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,no,stevia,20%,short and strong,none of the above,no,cortado
medium,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,cappuccino
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,flat white
dark,no,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
light,no,sugar,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,70% or above,long and mild,none of the above,no,cappuccino
medium,no,sugar,50%,short and strong,none of the above,no,latte macchiato
medium,yes,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
light,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,sugar,70% or above,short and strong,none of the above,no,mocha
medium,no,stevia,50%,long and mild,none of the above,no,latte machiatto
dark,yes,sugar,0%,short and strong,sambuka,no,coretto
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
dark,no,sugar,50%,long and mild,none of the above,no,cappuccino
